filename,image_id,split
BloodImage_00302.jpg,302,train
BloodImage_00264.jpg,264,train
BloodImage_00183.jpg,183,train
BloodImage_00019.jpg,19,train
BloodImage_00171.jpg,171,train
BloodImage_00087.jpg,87,train
BloodImage_00263.jpg,263,train
BloodImage_00018.jpg,18,train
BloodImage_00326.jpg,326,train
BloodImage_00115.jpg,115,train
BloodImage_00317.jpg,317,train
BloodImage_00137.jpg,137,train
BloodImage_00033.jpg,33,train
BloodImage_00038.jpg,38,train
BloodImage_00320.jpg,320,train
BloodImage_00211.jpg,211,train
BloodImage_00361.jpg,361,train
BloodImage_00300.jpg,300,train
BloodImage_00178.jpg,178,train
BloodImage_00202.jpg,202,train
BloodImage_00203.jpg,203,train
BloodImage_00064.jpg,64,train
BloodImage_00127.jpg,127,train
BloodImage_00169.jpg,169,train
BloodImage_00006.jpg,6,train
BloodImage_00351.jpg,351,train
BloodImage_00277.jpg,277,train
BloodImage_00010.jpg,10,train
BloodImage_00198.jpg,198,train
BloodImage_00114.jpg,114,train
BloodImage_00089.jpg,89,train
BloodImage_00210.jpg,210,train
BloodImage_00331.jpg,331,train
BloodImage_00212.jpg,212,train
BloodImage_00256.jpg,256,train
BloodImage_00287.jpg,287,train
BloodImage_00197.jpg,197,train
BloodImage_00229.jpg,229,train
BloodImage_00101.jpg,101,train
BloodImage_00074.jpg,74,train
BloodImage_00276.jpg,276,train
BloodImage_00107.jpg,107,train
BloodImage_00167.jpg,167,train
BloodImage_00312.jpg,312,train
BloodImage_00108.jpg,108,train
BloodImage_00230.jpg,230,train
BloodImage_00073.jpg,73,train
BloodImage_00023.jpg,23,train
BloodImage_00039.jpg,39,train
BloodImage_00168.jpg,168,train
BloodImage_00142.jpg,142,train
BloodImage_00072.jpg,72,train
BloodImage_00192.jpg,192,train
BloodImage_00323.jpg,323,train
BloodImage_00327.jpg,327,train
BloodImage_00388.jpg,388,train
BloodImage_00145.jpg,145,train
BloodImage_00170.jpg,170,train
BloodImage_00368.jpg,368,train
BloodImage_00094.jpg,94,train
BloodImage_00365.jpg,365,train
BloodImage_00216.jpg,216,train
BloodImage_00346.jpg,346,train
BloodImage_00205.jpg,205,train
BloodImage_00385.jpg,385,train
BloodImage_00207.jpg,207,train
BloodImage_00292.jpg,292,train
BloodImage_00288.jpg,288,train
BloodImage_00389.jpg,389,train
BloodImage_00150.jpg,150,train
BloodImage_00040.jpg,40,train
BloodImage_00011.jpg,11,train
BloodImage_00270.jpg,270,train
BloodImage_00225.jpg,225,train
BloodImage_00130.jpg,130,train
BloodImage_00209.jpg,209,train
BloodImage_00269.jpg,269,train
BloodImage_00343.jpg,343,train
BloodImage_00136.jpg,136,train
BloodImage_00377.jpg,377,train
BloodImage_00393.jpg,393,train
BloodImage_00296.jpg,296,train
BloodImage_00370.jpg,370,train
BloodImage_00193.jpg,193,train
BloodImage_00250.jpg,250,train
BloodImage_00282.jpg,282,train
BloodImage_00179.jpg,179,train
BloodImage_00324.jpg,324,train
BloodImage_00002.jpg,2,train
BloodImage_00134.jpg,134,train
BloodImage_00234.jpg,234,train
BloodImage_00349.jpg,349,train
BloodImage_00283.jpg,283,train
BloodImage_00140.jpg,140,train
BloodImage_00315.jpg,315,train
BloodImage_00241.jpg,241,train
BloodImage_00383.jpg,383,train
BloodImage_00148.jpg,148,train
BloodImage_00079.jpg,79,train
BloodImage_00333.jpg,333,train
BloodImage_00031.jpg,31,train
BloodImage_00091.jpg,91,train
BloodImage_00340.jpg,340,train
BloodImage_00123.jpg,123,train
BloodImage_00357.jpg,357,train
BloodImage_00254.jpg,254,train
BloodImage_00157.jpg,157,train
BloodImage_00215.jpg,215,train
BloodImage_00299.jpg,299,train
BloodImage_00046.jpg,46,train
BloodImage_00376.jpg,376,train
BloodImage_00070.jpg,70,train
BloodImage_00305.jpg,305,train
BloodImage_00093.jpg,93,train
BloodImage_00217.jpg,217,train
BloodImage_00075.jpg,75,train
BloodImage_00187.jpg,187,train
BloodImage_00012.jpg,12,train
BloodImage_00037.jpg,37,train
BloodImage_00030.jpg,30,train
BloodImage_00200.jpg,200,train
BloodImage_00166.jpg,166,train
BloodImage_00271.jpg,271,train
BloodImage_00175.jpg,175,train
BloodImage_00260.jpg,260,train
BloodImage_00253.jpg,253,train
BloodImage_00154.jpg,154,train
BloodImage_00272.jpg,272,train
BloodImage_00054.jpg,54,train
BloodImage_00360.jpg,360,train
BloodImage_00106.jpg,106,train
BloodImage_00313.jpg,313,train
BloodImage_00208.jpg,208,train
BloodImage_00235.jpg,235,train
BloodImage_00143.jpg,143,train
BloodImage_00043.jpg,43,train
BloodImage_00098.jpg,98,train
BloodImage_00319.jpg,319,train
BloodImage_00237.jpg,237,train
BloodImage_00160.jpg,160,train
BloodImage_00028.jpg,28,train
BloodImage_00402.jpg,402,train
BloodImage_00165.jpg,165,train
BloodImage_00278.jpg,278,train
BloodImage_00341.jpg,341,train
BloodImage_00004.jpg,4,train
BloodImage_00290.jpg,290,train
BloodImage_00366.jpg,366,train
BloodImage_00111.jpg,111,train
BloodImage_00258.jpg,258,train
BloodImage_00350.jpg,350,train
BloodImage_00245.jpg,245,train
BloodImage_00201.jpg,201,train
BloodImage_00109.jpg,109,train
BloodImage_00247.jpg,247,train
BloodImage_00066.jpg,66,train
BloodImage_00049.jpg,49,train
BloodImage_00034.jpg,34,train
BloodImage_00301.jpg,301,train
BloodImage_00231.jpg,231,train
BloodImage_00364.jpg,364,train
BloodImage_00029.jpg,29,train
BloodImage_00322.jpg,322,train
BloodImage_00262.jpg,262,train
BloodImage_00294.jpg,294,train
BloodImage_00191.jpg,191,train
BloodImage_00348.jpg,348,train
BloodImage_00162.jpg,162,train
BloodImage_00067.jpg,67,train
BloodImage_00159.jpg,159,train
BloodImage_00149.jpg,149,train
BloodImage_00008.jpg,8,train
BloodImage_00069.jpg,69,train
BloodImage_00014.jpg,14,train
BloodImage_00182.jpg,182,train
BloodImage_00042.jpg,42,train
BloodImage_00375.jpg,375,train
BloodImage_00334.jpg,334,train
BloodImage_00248.jpg,248,train
BloodImage_00314.jpg,314,train
BloodImage_00353.jpg,353,train
BloodImage_00268.jpg,268,train
BloodImage_00239.jpg,239,train
BloodImage_00244.jpg,244,train
BloodImage_00372.jpg,372,train
BloodImage_00284.jpg,284,train
